workload,shape_preset,domain,tag,mode,status,elapsed_wall_s,median_ms,p25_ms,p99_ms
vlm_vit_mlp_block,prefill,vlm,gemm,reduce-overhead,ok,1.0342019679956138,0.2921920120716095,0.29151999950408936,0.2988159954547882
vlm_vit_mlp_block,prefill,vlm,residual,reduce-overhead,ok,1.0342019679956138,0.2921920120716095,0.29151999950408936,0.2988159954547882
vlm_vit_mlp_block,prefill,vlm,layernorm,max-autotune,ok,1.09454015805386,0.28812798857688904,0.2874239981174469,0.2942441588640213
vlm_vit_mlp_block,prefill,vlm,gemm,max-autotune,ok,1.09454015805386,0.28812798857688904,0.2874239981174469,0.2942441588640213
vlm_vit_mlp_block,prefill,vlm,residual,max-autotune,ok,1.09454015805386,0.28812798857688904,0.2874239981174469,0.2942441588640213
vlm_vit_mlp_block,prefill,vlm,layernorm,max-autotune-no-cudagraphs,ok,1.0737560259876773,0.2632960081100464,0.2624639868736267,0.27624895334243776
vlm_vit_mlp_block,prefill,vlm,gemm,max-autotune-no-cudagraphs,ok,1.0737560259876773,0.2632960081100464,0.2624639868736267,0.27624895334243776
vlm_vit_mlp_block,prefill,vlm,residual,max-autotune-no-cudagraphs,ok,1.0737560259876773,0.2632960081100464,0.2624639868736267,0.27624895334243776
vlm_vision_rmsnorm_pool,prefill,vlm,reduction,eager,ok,1.0355248909909278,0.08646400272846222,0.08607999980449677,0.08796799927949905
vlm_vision_rmsnorm_pool,prefill,vlm,pooling,eager,ok,1.0355248909909278,0.08646400272846222,0.08607999980449677,0.08796799927949905
vlm_vision_rmsnorm_pool,prefill,vlm,elementwise,eager,ok,1.0355248909909278,0.08646400272846222,0.08607999980449677,0.08796799927949905
vlm_vision_rmsnorm_pool,prefill,vlm,reduction,default,ok,0.934522446943447,0.025407999753952026,0.02521600015461445,0.02672000043094158
vlm_vision_rmsnorm_pool,prefill,vlm,pooling,default,ok,0.934522446943447,0.025407999753952026,0.02521600015461445,0.02672000043094158
vlm_vision_rmsnorm_pool,prefill,vlm,elementwise,default,ok,0.934522446943447,0.025407999753952026,0.02521600015461445,0.02672000043094158
vlm_vision_rmsnorm_pool,prefill,vlm,reduction,reduce-overhead,ok,1.0247775199823081,0.04604800045490265,0.04572800174355507,0.04746752008795738
vlm_vision_rmsnorm_pool,prefill,vlm,pooling,reduce-overhead,ok,1.0247775199823081,0.04604800045490265,0.04572800174355507,0.04746752008795738
vlm_vision_rmsnorm_pool,prefill,vlm,elementwise,reduce-overhead,ok,1.0247775199823081,0.04604800045490265,0.04572800174355507,0.04746752008795738
vlm_vision_rmsnorm_pool,prefill,vlm,reduction,max-autotune,ok,1.1165721300058067,0.04492799937725067,0.04464000090956688,0.04630399867892265
vlm_vision_rmsnorm_pool,prefill,vlm,pooling,max-autotune,ok,1.1165721300058067,0.04492799937725067,0.04464000090956688,0.04630399867892265
vlm_vision_rmsnorm_pool,prefill,vlm,elementwise,max-autotune,ok,1.1165721300058067,0.04492799937725067,0.04464000090956688,0.04630399867892265
vlm_vision_rmsnorm_pool,prefill,vlm,reduction,max-autotune-no-cudagraphs,ok,1.1143357129767537,0.023520000278949738,0.02332800067961216,0.02486399933695793
vlm_vision_rmsnorm_pool,prefill,vlm,pooling,max-autotune-no-cudagraphs,ok,1.1143357129767537,0.023520000278949738,0.02332800067961216,0.02486399933695793
vlm_vision_rmsnorm_pool,prefill,vlm,elementwise,max-autotune-no-cudagraphs,ok,1.1143357129767537,0.023520000278949738,0.02332800067961216,0.02486399933695793
vlm_contrastive_nce_loss,prefill,vlm,loss,eager,ok,0.9900435450254008,0.06550399959087372,0.06508799642324448,0.06710399687290192
vlm_contrastive_nce_loss,prefill,vlm,contrastive,eager,ok,0.9900435450254008,0.06550399959087372,0.06508799642324448,0.06710399687290192
vlm_contrastive_nce_loss,prefill,vlm,normalization,eager,ok,0.9900435450254008,0.06550399959087372,0.06508799642324448,0.06710399687290192
vlm_contrastive_nce_loss,prefill,vlm,loss,default,ok,0.8596046050079167,0.047648001462221146,0.04569600149989128,0.156103044003248
vlm_contrastive_nce_loss,prefill,vlm,contrastive,default,ok,0.8596046050079167,0.047648001462221146,0.04569600149989128,0.156103044003248
vlm_contrastive_nce_loss,prefill,vlm,normalization,default,ok,0.8596046050079167,0.047648001462221146,0.04569600149989128,0.156103044003248
vlm_contrastive_nce_loss,prefill,vlm,loss,reduce-overhead,ok,0.9264452460920438,0.04134399816393852,0.04105599969625473,0.04259200021624565
vlm_contrastive_nce_loss,prefill,vlm,contrastive,reduce-overhead,ok,0.9264452460920438,0.04134399816393852,0.04105599969625473,0.04259200021624565
